OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
PZ-15-27,15-0197LR,050-006660,4200 DUBLIN RD,Calhoon property,"4200 Dublin Rd, Lot 14",Lot split,R-1,06/11/2015,n/a
PZ-15-28,15-0198LC,050-000110,3988 - 3996 MAIN ST,Cyclical Nature Bicycles,3988 Main St,Old Hilliard District Plan,OH-MD,06/11/2015,n/a
PZ-15-29,15-0199LR,050-008252,Not Found,Carr Farms,East side of Leppert Rd approximately 200 feet north of Davidson Rd,Concept Plan and PUD Zoning,R-R,11/12/2015,7/11/2016 (Ord. 16-01)
PZ-15-30,15-0200LR,050-002400 050-002847 050-000221,4278 AVERY RD; 4790 CEMETERY RD; 360 MAIN ST,Son Ministries,"4278 Avery Rd, 3500 Main St, and 4790 Cemetery Rd",Sign variance - temporary signs,"R-2, B-3, and S-1",06/11/2015,n/a
PZ-15-31,15-0201LC,050-009390,4691 - 4701 NORTHWEST PW,Eco Plumbers,4691 Northwest Pkwy,"Level ""A"" site plan",M-1,05/15/2015,n/a
PZ-15-32,15-0202LC,050-001488,4200 LYMAN CT,National Sign,4200 Lyman Dr,"Level ""A"" site plan",M-1,06/05/2015,n/a
PZ-15-33,15-0203LR,050-009854,NADINE PARK DR,Estates at Hoffman Farms,6070 Jeffrelyn Dr,Sign variance - subdivision development sign,PUD (Estates at Hoffman Farms),07/09/2015,n/a
PZ-15-34,15-0204LR,050-010605,4761 RIGGINS RD,Virginia Homes apartments (The Wendell),Britton Central PUD Subarea A3,Final Plat,PUD (Britton Central),07/09/2015,15-R-61
PZ-15-35,15-0205LC,050-000010,4125 - 4125 MAIN ST,Dance Connection,4160 Wayne St,Sign variance - temporary banner sign,OH-MD,07/09/2015,n/a
PZ-15-36,15-0206LC,050-010984,Not Found,Ohio Business College,4525 Trueman Blvd,Sign variance - temporary sign,PUD (Soma),08/13/2015,n/a
PZ-15-37,15-0207LR,053-000020,,Heritage Preserve Section 2 Phase 2,Heritage Preserve PUD Subarea A-3,Final Plat,PUD (Heritage Preserve),08/13/2015,9/14/15 (15-R-60)
PZ-15-38,15-0208LC,050-000062,Not Found,Berlin Development property,4121 Main St & 4125 Main St (formerly 4160 Wayne St),Sign variance - ground signs,OH-MD,08/13/2015,n/a
