OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
PZ-02-24,02-0025LC,n/a,,Zoning Code Amendment Sections 1107.01; 1111.07; 1123.01 & 1133.01,n/a,Zoning code amendment,n/a,08/08/2002,8/29/2002 (Ord. 02-44 Amended)
PZ-1,02-0026LC,,,Makoy Center & New Life Church,5462 Center St,Transfer of permitted from B-3 to B-6,B-6,08/08/2002,
PZ-02-25,02-0027LC,050-002081,HERITAGE CLUB DR REAR,World Gym,3440 Heritage Club Dr,Final development plan,PUD (Heritage Lakes),12/12/2002,n/a
PZ-02-26,02-0028LC,050-001324,4570 EDGEWYN AVE,First Choice Automotive,4570 Edgewyn Ave,Transfer of conditional use from B-2 to M-5,M-5,09/12/2002,
PZ-02-27,02-0029LC,050-003214,3799 PARKWAY LN,Sterling Protective Services,3799 Parkway Ln,M-5 plan,M-5,10/10/2002,n/a
PZ-02-28,02-0030LR,050-007084,6155 HERITAGE POINT CT,Hoffman residence,6155 Heritage Point Ct,PUD modification,PUD (Heritage Lakes),09/12/2002,
PZ-02-29,02-0031LC,050-006545,4949 EDWARDS FARMS RD,Wolpert property Trueman Blvd,Davidson Rd,Preliminary plat,B-3,Withdrawn,n/a
PZ-02-30,02-0032LC,050-00,,YMCA of Central Ohio,Cosgray Rd,Conditional use; final development plan,PUD (Patch),10/10/2002 11/12/02 Re- consideration,n/a
PZ-02-31,02-0033LC,050-002875,3700 PARKWAY LN,"All Star Sports, Inc.",3700 Parkway Ln,Conditional use,M-5,09/12/2002,n/a
PZ-02-32,02-0034LC,050-002401,4810 CEMETERY RD,M&K Investments,4810 Cemetery Rd,Amend limited overlay,L-B-3,10/10/2002 Postponed to time uncertain,
PZ-02-33,02-0035LC,050-000210,Not Found,Scherman property,5289 Franklin St,Conditional use transfer from B-6 to M-2,M-2,12/12/2002,
,02-0036LR,050-004506,2696 WESTWIND CT,Falardeau residence,2696 Westwind Ct,PND modification,PND (Brookfield Village),11/12/2002,n/a
,02-0037LR,050-009525,Not Found,Village at Homestead Park Section 1 Phase 2,4359 & 4301 Cosgray Rd,Final plat,PUD (Patch),05/08/2003,
,02-0038LR,050-004447,5566 SANDBROOK LN,Daily residence,5566 Sandbrook Ln,PND modification,PND (Brookfield Village),11/12/2002,n/a
,02-0039LR,050-008216,5710 HERITAGE LAKES DR,Fernandez residence,5710 Heritage Lakes Dr,PUD modification,PUD (Heritage Lakes),12/12/2002,
,02-0040LC,050-007016,3781 PARK MILL RUN DR,ITT Technical Institute,3781 Park Mill Run Dr,PUD modification,PUD (Mill Run),12/12/2002,12/23/2002 (02-C-57)
,02-0041LC,050-006676,4130 LYMAN DR,Dupont Powder Coatings USA,4130 Lyman Dr,M-5 plan,M-5,12/12/2002,n/a
,02-0042LC,050-000094 050-000095 050-000142 050-000143,4002 MAIN ST; 4004 MAIN ST; 5340 FRANKLIN ST; MAIN ST,Pesaru property,5340 Franklin St,Conditional use; mixed occupancy,B-6,12/12/2002,n/a
,02-0043LC,050-003030,4840 DAVIDSON RD,Wolpert property,4786 Davidson Rd,Deed transfer,B-3,01/09/2003,n/a
,02-0044LR,050-006966,3747 CARRIAGE RUN DR,Robinson residence,3747 Carriage Run Rd,PND modification,PND (Carriage Run),,
,02-0045LC,050-003285,3900 LYMAN DR,McDonald's restaurant,3900 Lyman Dr,M-5 plan modification,M-5,01/09/2003,n/a
,02-0046LC,050-007624 050-009477 050-009478,4311 - 4345 COSGRAY RD; 6074 PARK MEADOW LN; 6044 PARK MEADOW LN,Trec Development Inc. & Joe Joseph,Cosgray Rd & Parkmeadow Ln,PUD modification,PUD (Hoffman Farms),01/09/2003,2/10/2003 (03-C-05)
,03-0001LC,,,,,,,,
PZ-03-1,03-0002LC,050-002083,3555 MAIN ST,Bruster's Ice Cream,3555 Main St,Conditional use,B-2,Withdrawn,n/a
PZ-03-2,03-0003LC,050-003043 050-003283 050-008362,4530 GENEROSITY WY,Home Depot,Soma Company PUD Subarea 1,Final development plan,PUD (Soma),04/10/2003,n/a
PZ-03-4,03-0004LC,050-002410,4501 CEMETERY RD,"Rennob, Inc.",4501 Cemetery Rd,Informal review of a CRCOD plan,B-5,02/13/2003,n/a
PZ-03-5,03-0005LC,n/a,,Zoning Code Amendment,"Part Eleven - Chapters 1173, 1107, 1177, 1179, 1181 & 1183",Zoning code amendment,n/a,04/10/2003,5/24/2004 (Ord. 04-22)
PZ-03-3,03-0006LC,,,,,,,,
PZ-03-6,03-0007LC,050-000191 050-000109 050-000283 050-002981 050-000087 050-000240 050-000192 050-000193,3840 MAIN ST; 3860 MAIN ST; 3854 - 3870 MAIN ST; 5390 CEMETERY RD; 5321 CEMETERY RD; 5374 CEMETERY RD,"S-J Investments, et al",3840 Main St,Rezoning to B-6,"B-2; B-4, R-2",05/08/2003,
PZ-03-7,03-0008LC,050-000460 050-000127 050-000459 050-000461 050-000462 050-000463 050-000464 050-000465 050-000466 050-000863,5398 SCIOTO DARBY RD,"Salts, et al. properties",5393 Cemetery Rd,Rezoning to B-6,"B-2; B-4, R-2",05/08/2003,
PZ-03-8,03-0009LC,050-003205,4643 TRUEMAN BL,The Four Seasons,4355 Davidson Rd,Conditional use,B-3,03/13/2003,n/a
PZ-03-9,03-0010LC,200-001844 200-002679 200-000246 200-003696,,Grener properties & Lutheran Church property,South of Hayden Run Rd between Leppert Rd & Cosgray Rd,Rezoning to S-1,A-1,04/29/2003,
PZ-03-10,03-0011LC,050-007274,3641 - 3681 FISHINGER BL,"USPG Portfolio One, LLC",3600 Park Mill Run Dr,PUD modification,PUD (Mill Run),Withdrawn,n/a
PZ-03-11,03-0012LC,050-003043 050-003283 050-008362 050-008363 050-000580,4530 GENEROSITY WY; 5099 MENGEL LN,Soma Company PUD,,Final plat,PUD (Soma),04/10/2003,
PZ-03-12,03-0013LC,050-009086,4392 DAVIDSON RD,Enchanted Care Learning Center,4394 Davidson Rd,Conditional use; final development plan,PUD (Britton Farms),04/10/2003,n/a
PZ-03-13,03-0014LC,050-009383,3690 - 3720 LACON RD,Enterprise Rent-A-Car,3700-3720 Lacon Rd,Conditional use,M-5,04/10/2003,n/a
PZ-03-14,03-0015LC,050-002884,3550 PARKWAY LN,"Weber Holdings, Ltd. Property",3550 Parkway Ln,Conditional use; M-5 plan modification,M-5,04/10/2003,n/a
PZ-03-15,03-0016LC,050-001331,5017 CEMETERY RD,Rockbridge Academy,5017 Cemetery Rd,Conditional use,B-3,5/8/03 Tabled indefinitely,n/a
PZ-03-16,03-0017LC,050-002403,4537 CEMETERY RD,"Solid Ground Land Company, LLC",4537 Cemetery Rd,Lot split,B-5,05/08/2003,n/a
PZ-03-17,03-0018LR,050-008932,5724 SCHOOLWAY DR,Rodgers residence,5724 Schoolway Dr,PUD modification,PUD (Hoffman Farms),05/08/2003,
PZ-03-18,03-0019LR,052-000009,,AI Limited PND,5001 Wilcox Rd,PND modification,PND (AI Limited),05/08/2003,n/a
PZ-03-19,03-0020LR,050-002355 050-002356 050-002834,4788 JEANNETTE RD,Bender properties,Jeanette Rd,Deed transfer,R-4,06/12/2003,n/a
PZ-03-20,03-0021LR,050-000043,4080 WAYNE ST,"The Vinings, Ltd.",5029 Vinington Pl,PND modification,PND (AI Limited),06/12/2003,n/a
PZ-03-21,03-0022LR,050-003920,4995 RADSTOCK CT,Walker residence,4995 Radstock Ct,PND modification,PND (Hayden Run Village),07/10/2003,n/a
PZ-03-22,03-0023LR,052-000009,,Silverton Farms,5075 Wilcox Rd,PND modification,PND (AI Limited),07/10/2003,n/a
PZ-03-23,03-0024LC,050-003043,4530 GENEROSITY WY,Soma Company PUD,Soma Company PUD,Lot split / deed transfer,PUD (Soma),07/10/2003,n/a
PZ-03-24,03-0025LC,050-003043,4530 GENEROSITY WY,Target,Soma Company PUD Subarea 2,Final development plan,PUD (Soma),,n/a
PZ-03-25,03-0026LC,050-003727,4105 LYMAN DR,All Seasons Spas,4105 Lyman Dr,M-5 plan modification,M-5,07/10/2003,n/a
PZ-03-26,03-0027LR,050-005664,4638 MOSSROCK DR,Shoemaker residence,4638 Mossrock Dr,PUD modification,PUD (River Landings),07/10/2003,n/a
PZ-03-27,03-0028LC,050-005621,6300 SCIOTO DARBY RD,Maxwell property,6400 Scioto Darby Rd,Rezoning to B-2,A-1,Denied 10/9/2003,
PZ-03-28,03-0029LC,050-002884,3550 PARKWAY LN,"Columbus Custom Vinyl, LLC",3550 Parkway Ln,M-5 plan modification; conditional use,M-5,08/14/2003,n/a
PZ-03-29,03-0030LC,050-003237,3979 - 3981 PARKWAY AVE,Car Quest Auto Parts,3981 Parkway Ln,M-5 plan modification; conditional use,M-5,08/14/2003,n/a
PZ-03-30,03-0031LC,050-002404,Not Found,Dr. Sehgal & Associates,4519 Cemetery Rd,CRCOD plan,B-5,08/14/2003,n/a
PZ-2,03-0032LR,050-005432,3789 HILLIARD CEMETERY RD,Burdge property,3789 Cemetery Rd,Zoning classification R-1,RR (County),09/11/2003,
,03-0033LR,050-008934 050-008661,3738 HILLIARD-CEMETERY RD; 3764 HILLIARD-CEMETERY RD,Schonhardt property,3750 Cemetery Rd,Zoning classification R-1,RR (County),09/11/2003,
,03-0034LR,050-004002,4643 SCHIRTZINGER RD,Ernst property,4643 Schirtzinger Rd,Zoning classification R-1a,RR (County),10/09/2003,
PZ-03-31,03-0035LR,050-006135,3176 MELBURY DR,Berger property,3176 Melbury Dr,PND modification,PND (Woods of the Scioto),9/11/03 Tabled indefinitely,n/a
PZ-03-32,03-0036LR,050-006136,3166 MELBURY DR,Berger property,3166 Melbury Dr,PND modification,PND (Woods of the Scioto),9/11/03 Tabled indefinitely,n/a
PZ-03-33,03-0037LC,050-009210,4473 - 4485 CEMETARY RD,"Aldi, Inc. outparcel",4483 Cemetery Rd,CRCOD plan,B-5,09/11/2003,n/a
PZ-03-35,03-0038LC,050-009478,6044 PARK MEADOW LN,Joe Joseph Dentist Office,6044 Parkmeadow Ln,Final development plan,PUD (Hoffman Farms),09/11/2003,n/a
PZ-03-34,03-0039LC,050-000868,4162 COLUMBIA ST,Northwest Historical Society,Weaver Park,Significant architectural changes,B-6,09/11/2003,n/a
PZ-03-36,03-0040LC,050-002872,Not Found,Mid-Ohio Development Corp. Northwest Complex,4673 Northwest Pkwy,M-5 plan modification,M-5,10/09/2003,n/a
PZ-03-37,03-0041LR,050-009933,TRUEMAN BL,Central Park Ltd. Property (formerly known as Salyer property),"North side of Cemetery Rd approximately 1,500 feet west of Smiley Rd",Zoning classification R-R,Rural (County),10/09/2003,
PZ-03-38,03-0042LC,050-008936,Not Found,Baumeister property,4411 Cosgray Rd,Zoning classification A-1,Rural (County),10/09/2003,
PZ-03-39,03-0043LC,050-002410,4501 CEMETERY RD,Champaign Bank,4501 Cemetery Rd,CRCOD plan,B-5,11/13/2003,
PZ-03-40,03-0044LC,050-009928,4211 TRUEMAN BL,Target,Soma Company PUD Subarea 2,Lot split; final development plan,PUD (Soma),01/08/2004,n/a
PZ-03-41,03-0045LC,050-003009,3932 BROWN PARK DR,Life Community Church,4400 Cemetery Rd,Conditional use,B-3,Denied 11/13/2003,n/a
PZ-03-42,03-0046LC,050-002266,4000 PARKWAY LN,Sports Imports,4000 Parkway Ln,CRCOD plan; M-5 plan; conditional use,M-5,11/13/2003,n/a
PZ-03-43,03-0047LC,050-002081,HERITAGE CLUB DR REAR,HER Realtors,Northwest corner of Main St & Heritage Club Dr,Lot split; final development plan,PUD (Heritage Lakes),12/13/2003,n/a
PZ-03-44,03-0048LC,050-005621 050-005623,6300 SCIOTO DARBY RD; 6304 - 6356 SCIOTO DARBY RD,Maxwell & Talmage properties,6400 Scioto Darby Rd,Rezoning to B-2,A-1,B-5 1/8/04,
PZ-03-45,03-0049LC,050-002805,4964 SCIOTO DARBY RD,Sachs property,4964 Scioto Darby Rd,Conditional use,B-4,01/08/2004,n/a
PZ-04-1,04-0001LC,050-002410,4501 CEMETERY RD,Champaign Bank,4501 Cemetery Rd,Lot splilt,B-5,02/12/2004,n/a
PZ-04-2,04-0002LC,050-002881 050-002268,3650 PARKWAY DR,Ares Sportswear,3650 Parkway Ln,M-5 plan modification,M-5,03/11/2004,n/a
PZ-04-3,04-0003LC,050-000462 050-000465,5398 SCIOTO DARBY RD,"Salts, German, Manente, Kistner, and Hutras LLC properties",Cemetery Rd & High School Drive,Rezoning to B-6,R-2 & B-4,04/08/2004,
PZ-04-4,04-0004LC,050-006676,4130 LYMAN DR,"Dupont Powder Coatings USA, Inc.",4130 Lyman Dr,M-5 plan modification,M-5,03/11/2004,n/a
PZ-04-5,04-0005LR,050-008665 050-008381 050-009825 thru 050-009896,6089 JEFFRELYN DR; 6144 JEFFRELYN DR,The Estates at Hoffman Farms,The Estates at Hoffman Farms subdivsion,PND modification,PND (The Estates at Hoffman Farms),03/11/2004,n/a
PZ-04-6,04-0006LC,050-009383,3690 - 3720 LACON RD,Enterprise Rent A Car,3720 Lacon Rd,M-5 plan modification,M-5,03/11/2004,n/a
PZ-04-7,04-0007LR,050-000089,3941 COLUMBIA ST,Brantley property,3941 Columbia St,Conditional use,B-6,Withdrawn,n/a
PZ-04-8,04-0008LC,050-002895,3660 PARKWAY LN,Sheaf Jentgen Company LP,3670 Parkway Ln,Conditional use,M-5,03/11/2004,n/a
PZ-04-9,04-0009LC,050-006378,3525 HERITAGE CLUB DR,Heritage Golf Club,3525 Heritage Club Dr,Final developent plan modification,PUD (Heritage Lakes),06/10/2004,n/a
PZ-04-10,04-0010LC,050-003061,4001 DAVIDSON RD,Regula property,4001 Davidson Rd,Rezoning to PUD,A-1,04/08/2004,
PZ-04-11,04-0011LC,050-002309,4655 JEANNETTE RD,Coury property,4655 Jeanette Rd,Lot splilt,R-4,04/08/2004,n/a
PZ-04-12,04-0012LC,050-002086,Not Found,Nations Rent,5274 Cemetery Rd,CRCOD plan,B-2,05/13/2004,n/a
PZ-04-13,04-0013LC,050-003869 050-003870 050-003871 050-003873 050-003874 050-009943 050-009944 050-009952 050-009957 050-009960,HAYDEN RUN RD; 5100 HAYDEN RUN RD,Britton Central PUD,Hayden Run Rd & Britton Rd,PUD Zoning developent plan,A-1; B-3; R-1; R-2; R-6; R-R,07/08/2004,12/13/04 (Ord. 04-48)
PZ-04-14,04-0014LC,050-009209,4453 - 4489 CEMETERY RD,Hilliard Retail Center,4489 Cemetery Rd,CRCOD plan,B-5,05/13/2004,n/a
PZ-04-15,04-0015LC,050-009952 050-009944,5100 HAYDEN RUN RD,Trueman LP property,,Lot split / deed transfer,B-3,05/13/2004,n/a
PZ-04-16,04-0016LC,050-003001,3808 LACON RD REAR,Perrotta's Marble Shop,3808 Lyman Dr,Conditional use & M-5 plan,M-5,05/13/2004,n/a
PZ-04-17,04-0017LC,050-005621 050-005623,6300 SCIOTO DARBY RD; 6304 - 6356 SCIOTO DARBY RD,Darby Town Center,Northwest corner of Scioto Darby Rd & Cosgray Rd,Final development plan,A-1,05/13/2004,
PZ-04-18,04-0018LC,050-007624,4311 - 4345 COSGRAY RD,Cosgray Neighborhood Retail Center,Cosgray Rd,Final development plan,PUD (Hoffman Farms),07/08/2004,n/a
PZ-04-19,04-0019LC,050-009929,Not Found,Soma Company PUD Subarea 3,Soma Company PUD Subarea 3,PUD modification,PUD (Soma),04/14/2005,
PZ-04-20,04-0020LC,,,,,,,,
PZ-04-21,04-0021LC,050-009944,5100 HAYDEN RUN RD,Trueman LP property,West side of I-270 at the northern boundary of the City of Hilliard,Lot split / deed transfer,B-3,07/08/2004,n/a
PZ-04-22,04-0022LC,050-006545,4949 EDWARDS FARMS RD,"Wolpert Enterprises, Ltd.",Northeast corner of Davidson Rd and I-270,Preliminary plat for Trueman Blvd,B-3,07/08/2004,
PZ-04-23,04-0023LC,050-002887,3970 - 4138 WEAVER CT EAST,"Northwest Complex, Inc.",4090 Weaver Court South,M-5 plan,M-5,07/08/2004,n/a
PZ-04-24,04-0024LC,050-000249 050-000050,Not Found,Mizpah Fund II Ltd. Property,3966 Main St 5395 Madison St,CRCOD plan; conditional use,B-3,03/10/2005,n/a
PZ-04-25,04-0025LC,050-005429,Not Found,River Park 4 subdivision,3000 Davidson Rd,Preliminary plat,R-3,08/12/2004,
PZ-04-26,04-0026LC,050-009925,3931 - 3939 TRUEMAN BL,Central Park Retail Center,Outlot 2,Lot split / deed transfer,PUD (Soma),11/10/04 Tabled indefinitely,n/a
PZ-04-27,04-0027LC,050-008383,Not Found,Trails Edge,4520 Cosgray Rd,PUD Zoning developent plan,A-1,09/09/2004,
PZ-04-28,04-0028LR,050-008665,Not Found,Estates at Hoffman Farms Section 2 Phase 1,Cosgray Rd,Final plat,PND (The Estates at Hoffman Farms),09/09/2004,
PZ-04-29,04-0029LR,050-008381 050-008665,Not Found,Estates at Hoffman Farms Section 2 Phase 2,Cosgray Rd,Final plat,PND (The Estates at Hoffman Farms),09/09/2004,
PZ-04-30,04-0030LR,050-008381,Not Found,Estates at Hoffman Farms Section 2 Phase 3,Cosgray Rd,Final plat,PND (The Estates at Hoffman Farms),09/09/2004,
PZ-04-31,04-0031LR,050-008381,Not Found,Estates at Hoffman Farms Section 2 Phase 4,Cosgray Rd,Final plat,PND (The Estates at Hoffman Farms),09/09/2004,
PZ-04-32,04-0032LR,050-008381,Not Found,Estates at Hoffman Farms Section 2 Phase 5,Cosgray Rd,Final plat,PND (The Estates at Hoffman Farms),09/09/2004,
PZ-04-33,04-0033LC,050-002426,4555 CEMETERY RD,Ackerson Eyecare,4555 Cemetery Rd,CRCOD plan,B-5,10/14/2004,n/a
PZ-04-34,04-0034LC,050-004802,Not Found,Weston Trail Phase 3B,,Final plat,R-2 & B-4,10/14/2004,
PZ-04-35,04-0035LC,050-009925,3931 - 3939 TRUEMAN BL,Cheeseburger in Paradise,Central Park Lot 1,Final development plan,PUD (Soma),10/14/2004,n/a
PZ-04-37,04-0036LC,050-002880,3649 PARKWAY LN,Laserflex Corporation,3649 Parkway Ln,M-5 plan modification,M-5,10/14/2004,n/a
PZ-04-38,04-0037LC,050-009962,RESERVE A,AI Limited PND,Northwest corner of Noor Dr & Wilcox Rd,PND modification,PND (AI Limited),11/10/2004,n/a
PZ-04-36,04-0038LC,050-009925,3931 - 3939 TRUEMAN BL,Central Park Lot 1,Central Park Lot 1,Lot split / deed transfer,PUD (Soma),10/14/2004,n/a
PZ-04-39,04-0039LC,050-002428,Not Found,Lisk property,4832 Cemetery Rd,Rezoning to L-B-3,R-3,11/10/2004,4/14/2005 (Ord. 04-79)
PZ-04-40,04-0040LC,050-008261,Not Found,Ansmil West,,Final plat,PUD (Ansmil West),11/10/2004,
PZ-04-41,04-0041LC,050-008254 050-008255 050-008256 050-008257 050-008261,4501 DAVIDSON RD; ANSON DR; 4674 BRITTON PW,Ansmil PUD,Ansmil PUD,Extension of time limit,PUD (Ansmil),11/10/2004,
,04-0042LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-04-42,04-0043LC,050-003296,4078 - 4140 ANSON DR,Rainbow Development,4158 Anson Dr,M-5 plan,M-5,12/09/2004,n/a
PZ-04-43,04-0044LC,050-002875,3700 PARKWAY LN,Sheaf Jentgen Company LP,3700 Parkway Ln,Conditional use,M-5,11/10/2004,n/a
PZ-04-44,04-0045LR,050-003111,4268 SHIRE COVE RD,Petty residence,4268 Shire Cove Rd,Lot split / deed transfer,R-R,12/09/2004,n/a
PZ-04-45,04-0046LC,050-002164,3685 MAIN ST,McDonald's,3685 Main St,Conditional use,B-2,12/09/2004,n/a
PZ-04-46,04-0047LC,050-002815,4001 BRITTON PW,First Industrial LP property,4300 Cemetery Rd,PUD Zoning developent plan,M-5,Withdrawn,n/a
PZ-04-47,04-0048LC,050-000258 050-000263,5151 CENTER ST; 5151 NORWICH ST,Thrash property,5151 Norwich St,Conditional use,B-6,12/09/2004,n/a
PZ-04-48,04-0049LR,050-005429,Not Found,River Park Section 4 subdivision,Northwest corner of Davidson Rd & Dublin Rd,Final plat,R-3,01/13/2005,
PZ-04-49,04-0050LC,050-004730 050-009925 050-009933 050-010113,3931 - 3939 TRUEMAN BL; TRUEMAN BL; 4099 TRUEMAN BL,Central Park,Soma Company PUD Subarea 1,PUD modification,PUD (Soma),01/13/2005,
PZ-04-50,04-0051LC,050-003043 050-009208 050-003058 050-003039 050-003040,4530 GENEROSITY WY; 4640 TRUEMAN BL; 4283 DAVIDSON RD; 4653 TRUEMAN BL; 4355 DAVIDSON RD,Trueman Boulevard North Phase 2,Soma Company PUD,Final plat,PUD (Soma),01/13/2005,
PZ-04-51,04-0052LC,050-003396,4235 LEAP RD,Ice Mountain,4235 Leap Rd,M-5 plan modification,M-5,01/13/2005,n/a
PZ-05-1,05-0001LC,050-002981 050-000283,3854 - 3870 MAIN ST,Main Street Station,3860-3870 Main St,Conditional use,B-4,02/10/2005,n/a
PZ-05-2,05-0002LC,050-010127,4507 CEMETERY RD,Avery Road Animal Hospital,4507 Cemetery Rd,Final development plan,B-5,03/10/2005,n/a
PZ-05-3,05-0003LC,050-009925,3931 - 3939 TRUEMAN BL,Central Park Retail,3961 Trueman Blvd,"Lot split, final development plan & Signage plan",PUD (Soma),3/10/2005 (lot split & final development plan) 6/9/2005 (signage plan),n/a
PZ-05-4,05-0004LC,050-002887,3970 - 4138 WEAVER CT EAST,Northwest Complex,Weaver Ct South,Lot split,M-5,03/10/2005,n/a
PZ-05-5,05-0005LC,050-000127 050-000459 050-000460 050-000461 050-000462 050-000463 050-000863,Not Found,Walgreens,Cemetery Rd & Main St,CRCOD; Conditional use; Sign variance,B-6,11/10/2005,n/a
PZ-05-6,05-0006LC,050-002871,4731 - 4751 NORTHWEST PW,Hong Kong Buffet,4170 Weaver Ct South,Conditional use,M-5,03/10/2005,n/a
PZ-05-7,05-0007LC,050-002316,4860 CEMETERY RD,Dwertman property,4866 Cemetery Rd,Rezoning to B-3,R-3,04/14/2005,7/11/05 (Ord 05-35)
PZ-05-8,05-0008LC,050-002981 050-000283,3854 - 3870 MAIN ST,Bellin property,3866 & 3870 Main St,Rezoning to B-6,B-4,04/14/2005,7/11/05 (Ord 05-34)
PZ-05-9,05-0009LC,050-009926,TRUEMAN BL,Central Park Retail Center,Soma PUD Subarea 1,Final development plan,PUD (Soma),07/14/2005,n/a
PZ-05-10,05-0010LR,050-008936,Not Found,Baumeister property,4411 Cosgray Rd,Sketch plan,A-1,04/14/2005,n/a
PZ-05-11,05-0011LC,050-003296,4078 - 4140 ANSON DR,Rainbow Development Corp.,4158 Anson Dr,M-5 Plan modification,M-5,04/14/2005,n/a
PZ-05-12,05-0012LC,050-010113,4099 TRUEMAN BL,CME Federal Credit Union,Soma PUD Subarea 1,Final development plan,PUD (Soma),04/14/2005,n/a
PZ-05-13,05-0013LC,050-009926,TRUEMAN BL,Central Park Ltd.,Soma PUD Subarea 1,Lot split,PUD (Soma),04/14/2005,n/a
PZ-05-14,05-0014LC,050-009944 050-003871 050-003869 050-010114,5100 HAYDEN RUN RD; HAYDEN RUN RD,Britton Parkway Plat,Britton Central PUD,Final plat,PUD (Britton Central),04/14/2005,9/26/05 (05-R-39)
PZ-05-15,05-0015LC,050-007350,3861 PARK MILL RUN,TGI Friday's,3861 Park Mill Run Dr,PUD modification,PUD (Mill Run),04/14/2005,n/a
PZ-05-16,05-0016LC,050-003237,3979 - 3981 PARKWAY AVE,Fastenal Company,3981 Parkway Ln,Conditional use,M-5,06/09/2005,n/a
PZ-05-17,05-0017LC,050-000136 050-002288,4142 - 4144 MAIN ST; MAIN ST,U-Haul,4144 Main St,Conditional use - auto sales,B-6,Denied 6/9/2005,n/a
PZ-05-18,05-0018LR,050-008936,Not Found,Baumeister property,4411 Cosgray Rd,PND development plan,A-1,06/09/2005,11/14/05 (Ord 05-44)
PZ-05-19,05-0019LC,050-000175,4010 MAIN ST,Sam's Dental Lab Inc.,4010 Main St,Conditional use - mixed occupancy,B-6,06/09/2005,n/a
PZ-05-20,05-0020LC,050-001488,4200 LYMAN CT,National Sign Systems,4200 Lyman Dr,Lot split,M-5,06/09/2005,n/a
PZ-05-21,05-0021LC,050-002881,3650 PARKWAY DR,Ares Sportswear,3650 Parkway Ln,Sign variance,M-5,07/14/2005,n/a
PZ-05-22,05-0022LC,050-007624,4311 - 4345 COSGRAY RD,Hilliard Taekwondo America Inc.,4323 Cosgray Rd,Conditional use,PUD (Hoffman Farms),07/14/2005,n/a
PZ-05-23,05-0023LR,050-008358,Not Found,Hoffman Farms Condos (Brickstone Green),NE corner Cosgray Rd & Parkmeadow Ln,PUD modification,PUD (Hoffman Farms),08/11/2005,12/12/05 (05-R-42)
PZ-05-24,05-0024LC,120-000228 272-000056 272-000122 272-000172 272-008424 272-000007,,Charles Buck et al properties,7147 Hayden Run Rd,Sketch plan,TWP,n/a,n/a
PZ-05-25,05-0025LC,050-005623,6304 - 6356 SCIOTO DARBY RD,Darby Town Center,Scioto Darby Rd & Cosgray Rd,Final development plan,B-5,07/14/2005,Service Committee
PZ-05-26,05-0026LC,050-009693,6055 WOODSVIEW WY,Patch property,6055 Woodsview Way,PUD modification,PUD (Patch),07/14/2005,8/22/05 (05-R-30)
PZ-05-27,05-0027LC,050-007276,3883 PARK MILL RUN DR,CVS (Chili's site),3883 Park Mill Run Dr,Final development plan,PUD (Mill Run),07/14/2005,n/a
PZ-05-28,05-0028LC,050-000147,5231 NORWICH ST,Image Professionals,5231 Norwich St,Significant architectural changes,B-6,07/14/2005,n/a
PZ-05-29,05-0029LC,050-000179,4143 MAIN ST,Allstate,4143 Main St,Significant architectural changes,B-6,07/14/2005,n/a
,05-0030LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-05-30,05-0031LC,050-003296,4078 - 4140 ANSON DR,Royal Spa Corp.,4142 Anson Dr,Conditional use,M-5,Withdrawn,n/a
PZ-05-31,05-0032LR,050-010332 thru 050-010363,4836 HEATH TRAILS RD; 4835 HEATH TRAILS RD,Ansmil West (Westport Homes of Ohio Inc.),Ansmil West subdivision,PUD modification,PUD (Ansmil West),08/11/2005,8/22/05 (05-R-31)
PZ-05-32,05-0033LC,050-003204,3850 LYMAN DR,Tim Horton's,3850 Lyman Dr,M-5 Plan,M-5,08/11/2005,n/a
PZ-05-33,05-0034LC,050-005623,6304 - 6356 SCIOTO DARBY RD,Darby Town Center,Darby Town Center Subarea C,Lot split,B-5,08/11/2005,n/a
PZ-05-34,05-0035LC,050-005623,6304 - 6356 SCIOTO DARBY RD,Bank One,Darby Town Center Subarea C,Final development plan,B-5,08/11/2005,Service Committee
PZ-05-35,05-0036LC,050-000258 050-000263,5151 CENTER ST; 5151 NORWICH ST,Cornell Lawn Care,5151 Norwich St,Significant architectural changes,B-6,08/11/2005,n/a
PZ-05-36,05-0037LR,050-004802,Not Found,Weston Trail,Weston Trail Phase 4 subdivision,Final plat,R-2,08/11/2005,9/12/05 (05-R-36)
PZ-05-37,05-0038LC,050-010113,4099 TRUEMAN BL,CME Federal Credit Union,4099 Trueman Blvd,Sign variance,PUD (Soma),09/08/2005,n/a
PZ-05-39,05-0039LC,050-009925,3931 - 3939 TRUEMAN BL,Cheeseburger in Paradise,4081 Trueman Blvd,Final development plan,PUD (Soma),09/08/2005,n/a
PZ-05-40,05-0040LC,050-002091,4399 CEMETERY RD,Iacobucci property,4399 Cemetery Rd,Rezoning to B-2,M-5,12/08/2005,Tabled indefinitely
PZ-05-41,05-0041LC,050-004799,5462 N CENTER ST,Makoy Center,5462 Center St,Significant architectural changes - fence,B-6,09/08/2005,n/a
PZ-05-38,05-0042LC,050-002808,3509 - 3511 MAIN ST,Conrad property,3509-3513 Main St,Sign variance,B-2,09/08/2005,n/a
